1	1
6	6
7	7
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
63	63
66	66
67	67
68	68
69	69
70	70
71	71
72	72
73	73
77	77
78	78
79	79
83	83
85	85
87	87
90	90
91	91
93	93
95	95
97	97
99	99
100	100
101	101
103	103
104	104
105	105
107	107
108	108
109	109
113	113
114	114
115	115
118	118
120	120
121	121
122	122
124	124
126	126
127	127
129	129
133	133
134	134
135	135
136	136
138	138
139	139
141	141
143	143
145	145
147	147
148	148
150	150
160	160
161	161
162	162
164	164
166	166
170	170
188	188
192	192
194	194
199	199
202	202
208	208
210	210
211	211
214	214
217	217
222	222
224	224
227	227
229	229
239	239
240	240
242	242
244	244
251	251
253	253
255	255
256	256
257	257
259	259
261	261
268	268
272	272
274	274
275	275
277	277
279	279
280	280
283	283
286	286
292	292
300	300
301	301
303	303
304	304
305	305
315	315
316	316
317	317
318	318
319	319
322	322
343	343
356	356
364	364
370	370
377	377
383	383
388	388
391	391
398	398
412	412
415	415
